pid	genus	hybrid	author	year	seed	pollen
6752#6752	NEOREGELIA	Rhythmic Waves	Mellica, J.	?	'Ellen B'	'Tossed Salad'
6753#6753	NEOREGELIA	Rich Paisley	Elmore J	ca 1979	'Ellen B'	'Tossed Salad'
6754#6754	NEOREGELIA	Rich Whipped Cream	Zaghini, S.	2002	'Ice White River'	'Very Cherry'
16340#16340	NEOREGELIA	Richard Parker	Vinzant, Lisa	2010	Cat's Pajamas	Black Satin
6755#6755	NEOREGELIA	Richter	Richter	<1979	Vulkan	Black Satin
6756#6756	NEOREGELIA	Richter's Red (Bract)	Richter	<1980	Vulkan	Black Satin
6757#6757	NEOREGELIA	Rickshaw	Elmore j	ca 1979	Vulkan	Black Satin
10900#10900	NEOREGELIA	Ridgie Didge	Paterson M	2005	Mandela	Mandela
6758#6758	NEOREGELIA	Rien's Pride	Roepen, R.	<1991	'Fairy Paint'	'Fairy Paint'
14592#14592	NEOREGELIA	Rien's Thunder	Wood, Neville	2009	Thunderbird	Rien's Pride
6759#6759	NEOREGELIA	Ring In	Goode	<1986	Vulkan	ampullacea
6760#6760	NEOREGELIA	Ring Leader	Goode, G.	<1998	'Bob'	?
6761#6761	NEOREGELIA	Ring of Fire	Vinzant L.	1995	correia-araujoi	Lambert's Pride
15016#15016	NEOREGELIA	Ring of the Moon	Keerati Bromeliads	circa 2015	?	?
6762#6762	NEOREGELIA	Rio Ochre	Davis, R., Hill*	1980	?	?
6763#6763	NEOREGELIA	Rio Red	Hummel	<1978	?	?
6764#6764	NEOREGELIA	Rip Tide	Petersen S	1995	'Barbarian'	'Lambert's Pride'
6765#6765	NEOREGELIA	Ripple	McQueen, J.	1982	'Mini Misso'	concentrica
10069#10069	NEOREGELIA	Ripple Effect	R. Coleman		cruenta (Frenchs	concentrica
11039#11039	NEOREGELIA	Riqueza	Vinzant L	?	Groves Grace x Groves Passion	Pink Sensation
6766#6766	NEOREGELIA	Rise and Shine	Goode, G.	?	?punctatissima	'Small World'
11991#11991	NEOREGELIA	Rising Storm	Przetocki V	1988	carolinae	Rosea Striata
6767#6767	NEOREGELIA	Rising Sun	Springhill	1981	carolinae	Rosea Striata
6768#6768	NEOREGELIA	Rita	Elmore J	ca 1979	carolinae	Rosea Striata
6769#6769	NEOREGELIA	Ritual	Elmore, J.	ca 1979	carolinae	Rosea Striata
6770#6770	NEOREGELIA	Ritz	Elmore J	ca 1979	carolinae	Rosea Striata
6771#6771	NEOREGELIA	Ritzy	Przetocki, V.	1988	?punctatissima	'Fireball'
6772#6772	NEOREGELIA	Ritzy Red	Przetocki, V.	1988	?punctatissima	'Fireball'
10398#10398	NEOREGELIA	Ritzy Tiger	Devonshire A	2008	Ritzy	Blushing Tiger
6773#6773	NEOREGELIA	Riva Lee	Meilleur	<1989	Royal Burgundy	Broadleaf Red
6774#6774	NEOREGELIA	River Falls	Elmore J	ca 1979	Royal Burgundy	Broadleaf Red
6775#6775	NEOREGELIA	Rivera	Bullis? (Johnson, C.*)?	<1994	Royal Burgundy	Broadleaf Red
12988#12988	NEOREGELIA	Riverside	Dobbs J	2012	Pemiento	Sweet Thing
6776#6776	NEOREGELIA	Rob Roy	Burstrom	<1984	concentrica	Rosea Striata(?)
6777#6777	NEOREGELIA	Robert (Bob) L. Smith	Elmore, J. (#1353)	<1983	tristis hybrid 'Saucer'	cruenta (rubra)
